NN,DTM,MoM,pMoM,data_size
171057.4915,3.1229647201748905e6,794849.2233890215,1.1575241714947857e6,1000
3.095470920743034e6,4.8693332972727275e8,9.618209365384616e6,5.413619265438787e6,10000
8.699479062608697e6,3.321123042e9,2.5617138147959184e7,1.2495178635e7,25000
1.9003913821969695e7,1.3359645833e10,5.460127580434783e7,2.5834671221649483e7,50000
4.0130975328e7,7.3921823583e10,1.1439688254545455e8,5.3469679e7,100000
